number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude,timestamp
85,dublin,ROTHE ABBEY,Rothe Abbey,FALSE,FALSE,35,18,17,OPEN,1.74203E+12,53.338776,-6.30395,3/15/2025 9:38
107,dublin,CHARLEVILLE ROAD,Charleville Road,FALSE,FALSE,40,20,20,OPEN,1.74203E+12,53.359157,-6.281866,3/15/2025 9:38
33,dublin,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,FALSE,FALSE,23,4,19,OPEN,1.74203E+12,53.349013,-6.260311,3/15/2025 9:38
44,dublin,UPPER SHERRARD STREET,Upper Sherrard Street,FALSE,FALSE,30,17,13,OPEN,1.74203E+12,53.358437,-6.260641,3/15/2025 9:38
89,dublin,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,FALSE,FALSE,40,39,1,OPEN,1.74203E+12,53.335211,-6.2509,3/15/2025 9:38
57,dublin,GRATTAN STREET,Grattan Street,FALSE,FALSE,23,23,0,OPEN,1.74203E+12,53.339629,-6.243778,3/15/2025 9:38
80,dublin,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),FALSE,FALSE,40,37,3,OPEN,1.74203E+12,53.341359,-6.292951,3/15/2025 9:38
41,dublin,HARCOURT TERRACE,Harcourt Terrace,FALSE,FALSE,20,18,2,OPEN,1.74203E+12,53.332763,-6.257942,3/15/2025 9:38
3,dublin,BOLTON STREET,Bolton Street,FALSE,FALSE,20,13,7,OPEN,1.74203E+12,53.351182,-6.269859,3/15/2025 9:38
40,dublin,JERVIS STREET,Jervis Street,FALSE,FALSE,21,13,8,OPEN,1.74203E+12,53.3483,-6.266651,3/15/2025 9:38
29,dublin,ORMOND QUAY UPPER,Ormond Quay Upper,FALSE,FALSE,29,7,22,OPEN,1.74203E+12,53.346057,-6.268001,3/15/2025 9:38
103,dublin,GRANGEGORMAN LOWER (SOUTH),Grangegorman Lower (South),FALSE,FALSE,40,22,18,OPEN,1.74203E+12,53.354663,-6.278681,3/15/2025 9:38
28,dublin,MOUNTJOY SQUARE WEST,Mountjoy Square West,FALSE,FALSE,30,8,22,OPEN,1.74203E+12,53.356299,-6.258586,3/15/2025 9:38
39,dublin,WILTON TERRACE,Wilton Terrace,FALSE,FALSE,20,20,0,OPEN,1.74203E+12,53.332383,-6.252717,3/15/2025 9:38
83,dublin,EMMET ROAD,Emmet Road,FALSE,FALSE,40,5,35,OPEN,1.74203E+12,53.340714,-6.308191,3/15/2025 9:38
